id,dropped,vis,item,question: ,option:,correct
1,no,VLAT_a,a_1,What was the price of a barrel of oil in February 2015? ,$39.72; $57.36; $48.90; $62.85,$48.90 
2,no,VLAT_a,a_2,In which month was the price of a barrel of oil the lowest in 2015?,April; June; September; December,April
3,no,VLAT_a,a_3,What was the price range of a barrel of oil in 2015?,$48.36 - $60.95; $37.75 - $63.40; $31.04 - $60.95; $35.04 - $61.95, $37.75 - $63.40
4,no,VLAT_a,a_4,"Over the course of the second half of 2015, the price of a barrel of oil was ____________.",rising; falling; staying,rising
5,no,VLAT_a,a_5,About how much did the price of a barrel of oil rise from April to September in 2015?,$4.56; $14.63; $23.55; $45.56,$23.55 
6,no,VLAT_b,b_1,What is the average internet speed in Japan?,4 Mbps; 9 Mbps; 13 Mbps; 17 Mbps,17 Mbps
7,no,VLAT_b,b_2,In which country is the average internet speed the fastest in Asia?,Japan; South Korea; Sri Lanka; India,Sri Lanka
8,no,VLAT_b,b_3,What is the range of the average internet speed in Asia?,0 - 25 Mbps; 9 - 18 Mbps; 3 - 20 Mbps; 4 - 7 Mbps,3 - 20 Mbps
9,no,VLAT_b,b_4,How many countries in Asia is the average internet speed slower than Thailand?,2 countries; 4 countries; 6 countries; 10 countries,10 countries
10,no,VLAT_c,c_1,What is the cost of peanuts in Las Vegas?,$5; $15; $23.4; $35.4,$5 
11,no,VLAT_c,c_2,About what is the ratio of the cost of a sandwich to the total cost of room service in Seattle?,1 to 10; 10 to 15; 8 to 25; 1 to 4,1 to 4
12,no,VLAT_c,c_3,In which city is the cost of soda the highest?,New York City; Las Vegas; Atalanta; San Francisco,San Francisco
13,yes,VLAT_c,c_4,What is the cost range of a sandwich in the cities?,$0 - $24; $0 - $55.9; $5 - $16; $17 - $35.2,$5 - $16
14,no,VLAT_c,c_5,The cost of vodka in Atlanta is higher than that of Honolulu.,True; False,FALSE
15,no,VLAT_c,c_6,The ratio of the cost of Soda to the cost of Water in Orlando is higher than that of Washington D.C.,True; False,TRUE
16,no,VLAT_d,d_1,What is the approval rating of Republicans among the people who have the education level of Postgraduate Study?,38%; 47%; 53%; 75%,75%
17,no,VLAT_d,d_2,What is the education level of people in which the Democrats have the lowest approval rating?,High School Graduate or Less; Some College Degree; College Graduate; Postgraduate study,Postgraduate study
18,no,VLAT_d,d_3,The approval rating of Republicans for the people who have the education level of Some College Degree is lower than that for the people who have the education level of Postgraduate Study.,True; False,TRUE
19,no,VLAT_e,e_1,About what is the global smartphone market share of Samsung?,15%; 25%; 32%; 50%,32%
20,no,VLAT_e,e_2,In which company is the global smartphone market share the smallest?,Apple; Xiaomi; Lenovo; Others,Others
21,no,VLAT_e,e_3,The global smartphone market share of Apple is larger than that of Huawei.,True; False,TRUE
22,no,VLAT_f,f_1,How many people have rated the taxi between 4.0 and 4.2?,145; 183; 250; 310,310
23,no,VLAT_f,f_2,What is the rating that the people have rated the taxi the most?,4.2-4.4; 4.4-4.6; 4.6-4.8; 4.8-5.0,4.2-4.4
24,yes,VLAT_f,f_3,The distribution of the taxi passenger rating is generally skewed to the left.,True; False,TRUE
25,no,VLAT_f,f_4,More people have rated the taxi between 4.6 and 4.8 than between 4.2 and 4.4.,True; False,FALSE
26,yes,VLAT_f,f_5,How many people have rated the taxi 4.9?,200; 240; 345; Cannot be inferred,Cannot be inferred
27,no,VLAT_g,g_1,What is the weight for the person who is 166 cm tall?,58.2 kg; 70.5 kg; 80.7 kg; 85.7 kg,70.5 kg
28,no,VLAT_g,g_2,What is the height for the tallest person among the 85 males?,145.3 cm; 175.3 cm; 182 cm; 197.1 cm,197.1 cm
29,no,VLAT_g,g_3,What is the range in weight for the 85 males?,40 - 130 kg; 62.3 - 90.9 kg; 53.9 - 116.3 kg; 53.9 - 123.6 kg,53.9 - 116.3 kg
30,yes,VLAT_g,g_4,More than 60 percent of males lie between the weights of 60 kg and 100 kg.,True; False,TRUE
31,no,VLAT_g,g_5,No person weighs more than 120 kg.,True; False,TRUE
32,no,VLAT_g,g_6,A group of males are gathered around the height of 176 cm and the weight of 70 kg.,True; False,FALSE
33,no,VLAT_g,g_7,There is a negative linear relationship between the height and the weight of the 85 males.,True; False,FALSE
34,no,VLAT_g,g_8,The weights for males with the height of 185-190 cm are all the same.,True; False,FALSE
35,no,VLAT_i,i_1,What was the average price of a pound of coffee beans in September 2013?,$4.90; $5.00; $5.10; $5.50,$5.50 
36,no,VLAT_i,i_2,When was the average price of a pound of coffee beans at minimum?,April 2013; September 2013; February 2014; December 2014,14-Feb
